权	權
杆	桿
条	條
来	來
杨	楊
杩	榪
杰	傑
构	構
枞	樅
枢	樞
枣	棗
枥	櫪
枧	梘
枨	棖
枪	槍
枫	楓
枭	梟
柠	檸
柽	檉
栀	梔
栅	柵
标	標
栈	棧
栉	櫛
栊	櫳
栋	棟
栌	櫨
栎	櫟
栏	欄
树	樹
栖	棲
样	樣
栾	欒
桠	椏
桡	橈
桢	楨
档	檔
桤	榿
桥	橋
桦	樺
桧	檜
桨	槳
桩	樁
梦	夢
梼	檮
梾	棶
梿	槤
检	檢
棁	梲
棂	欞
椁	槨
椟	櫝
椠	槧
椤	欏
椭	橢
楼	樓
榄	欖
棱	稜
榅	榲
榇	櫬
榈	櫚
榉	櫸
槚	檟
槛	檻
檐	簷
槟	檳
槠	櫧
横	橫
樯	檣
樱	櫻
橥	櫫
橱	櫥
橹	櫓
橼	櫞
檩	檁
欢	歡
欤	歟
欧	歐
歼	殲
殁	歿
殇	殤
残	殘
殒	殞
殓	殮
殚	殫
殡	殯
㱮	殨
殴	毆
毁	毀
毂	轂
毕	畢
毙	斃
毡	氈
毵	毿
氇	氌
气	氣
氢	氫
氩	氬
氲	氳
汉	漢
汤	湯
汹	洶
沟	溝
没	沒
沣	灃
沤	漚
沥	瀝
沦	淪
沧	滄
沪	滬
泞	濘
泪	淚
泶	澩
泷	瀧
泸	瀘
泺	濼
泻	瀉
泼	潑
泽	澤
泾	涇
涌	湧
洁	潔
洒	灑
洼	窪
浃	浹
浅	淺
浆	漿
浇	澆
浈	湞
浊	濁
测	測
浍	澮
济	濟
浏	瀏
浐	滻
浑	渾
浒	滸
浓	濃
浔	潯
涛	濤
涝	澇
涞	淶
涟	漣
涠	潿
涡	渦
涣	渙
涤	滌
润	潤
涧	澗
涨	漲
涩	澀
渊	淵
渌	淥
渍	漬
渎	瀆
渐	漸
渑	澠
渔	漁
渖	瀋
渗	滲
温	溫
湾	灣
湿	濕
溃	潰
溅	濺
溆	漵
滗	潷
滚	滾
滞	滯
滟	灧
滠	灄
满	滿
滢	瀅
滤	濾
滥	濫
羡	羨
滦	灤
滨	濱
滩	灘
滪	澦
漤	灠
潆	瀠
潇	瀟
潋	瀲
潍	濰
潜	潛
潴	瀦
澜	瀾
濑	瀨
濒	瀕
灏	灝
灭	滅
灯	燈
灵	靈
灾	災
灿	燦
炀	煬
炉	爐
炖	燉
炜	煒
炝	熗
点	點
炼	煉
炽	熾
烁	爍
烂	爛
烃	烴
烛	燭
烟	煙
烦	煩
烧	燒
烨	燁
烩	燴
烫	燙
烬	燼
热	熱
焕	煥
焖	燜
焘	燾
煴	熅
爱	愛
爷	爺
牍	牘
牦	氂
牵	牽
牺	犧
犊	犢
状	狀
犷	獷
犸	獁
犹	猶
狈	狽
狝	獮
狞	獰
独	獨
狭	狹
狮	獅
狯	獪
狰	猙
狱	獄
狲	猻
猃	獫
猎	獵
猕	獼
猡	玀
猪	豬
猫	貓
猬	蝟
献	獻
獭	獺
玑	璣
玚	瑒
玛	瑪
玮	瑋
环	環
现	現
玱	瑲
玺	璽
珐	琺
珑	瓏
珰	璫
珲	琿
琏	璉
琐	瑣
琼	瓊
瑶	瑤
瑷	璦
璎	瓔
瓒	瓚
瓯	甌
电	電
画	畫
畅	暢
畴	疇
疖	癤
疗	療
疟	瘧
疠	癘
疡	瘍
疬	癧
疭	瘲
疮	瘡
疯	瘋
疱	皰
疴	痾
痈	癰
痉	痙
痒	癢
痖	瘂
痨	癆
痪	瘓
痫	癇
瘅	癉
瘆	瘮
瘗	瘞
瘪	癟
瘫	癱
瘾	癮
瘿	癭
癞	癩
癣	癬
癫	癲
皑	皚
皱	皺
皲	皸
盏	盞
盐	鹽
监	監
盖	蓋
盗	盜
盘	盤
眍	瞘
眦	眥
眬	矓
着	著
睁	睜
睐	睞
睑	瞼
瞆	瞶
瞒	瞞
䁖	瞜
瞩	矚
矫	矯
矶	磯
矾	礬
矿	礦
砀	碭
码	碼
砖	磚
砗	硨
砚	硯
砜	碸
砺	礪
砻	礱
砾	礫
础	礎
硁	硜
硕	碩
硖	硤
硗	磽
硙	磑
碍	礙
碛	磧
碜	磣
碱	鹼
礼	禮
祃	禡
祎	禕
祢	禰
祯	禎
祷	禱
祸	禍
禀	稟
禄	祿
禅	禪
离	離
秃	禿
秆	稈
积	積
称	稱
秽	穢
秾	穠
稆	穭
税	稅
稣	穌
稳	穩
穑	穡
穷	窮
窃	竊
窍	竅
窎	窵
窑	窯
窜	竄
窝	窩
窥	窺
窦	竇
窭	窶
竞	競
笃	篤
笋	筍
笔	筆
笕	筧
笺	箋
笼	籠
笾	籩
筚	篳
筛	篩
筜	簹
筝	箏
䇲	筴
筹	籌
筼	篔
简	簡
箓	籙
箦	簀
箧	篋
箨	籜
箩	籮
箪	簞
箫	簫
篑	簣
篓	簍
篮	籃
篱	籬
簖	籪
籁	籟
籴	糴
类	類
籼	秈
粜	糶
粝	糲
粤	粵
粪	糞
粮	糧
糁	糝
糇	餱
紧	緊
䌷	紬
䌹	絅
絷	縶
䌸	縳
䍁	繸
纟	糹
纠	糾
纡	紆
红	紅
纣	紂
纥	紇
约	約
级	級
纨	紈
纩	纊
纪	紀
纫	紉
䌶	䊷
纬	緯
纭	紜
纮	紘
纯	純
纰	紕
纱	紗
纲	綱
纳	納
纴	紝
纵	縱
纶	綸
纷	紛
纸	紙
纹	紋
纺	紡
纻	紵
纼	紖
纽	紐
纾	紓
绀	紺
绁	絏
绂	紱
练	練
组	組
绅	紳
细	細
织	織
终	終
绉	縐
绊	絆
绋	紼
绌	絀
绍	紹
绎	繹
经	經
绐	紿
绑	綁
绒	絨
结	結
绔	絝
绕	繞
绖	絰
绗	絎
绘	繪
给	給
绚	絢
绛	絳
络	絡
绞	絞
统	統
绠	綆
绡	綃
绢	絹
绤	綌
绥	綏
继	繼
绨	綈
绩	績
绪	緒
绫	綾
绬	緓
续	續
绮	綺
绯	緋
绰	綽
绲	緄
绳	繩
维	維
绵	綿
绶	綬
绸	綢
绹	綯
绺	綹
绻	綣
综	綜
绽	綻
绾	綰
缀	綴
缁	緇
缂	緙
缃	緗
缄	緘
缅	緬
缆	纜
缇	緹
缈	緲
缉	緝
缊	縕
缋	繢
缌	緦
缍	綞
缎	緞
缏	緶
缑	緱
缒	縋
缓	緩
缔	締
缕	縷
编	編
缗	緡
缘	緣
缙	縉
缚	縛
缛	縟
缜	縝
缝	縫
缞	縗
缟	縞
缠	纏
缡	縭
缢	縊
缣	縑
缤	繽
缥	縹
缦	縵
缧	縲
缨	纓
缩	縮
缪	繆
缫	繅
缬	纈
缭	繚
缮	繕
缯	繒
缱	繾
缲	繰
缳	繯
缴	繳
缵	纘
罂	罌
网	網
罗	羅
罚	罰
罢	罷
罴	羆
羁	覊
羟	羥
翘	翹
耢	耮
耧	耬
耸	聳
耻	恥
聂	聶
聋	聾
职	職
聍	聹
联	聯
聩	聵
聪	聰
肃	肅
肠	腸
肤	膚
肮	骯
肴	餚
肾	腎
肿	腫
胀	脹
胁	脅
胆	膽
胧	朧
胨	腖
胪	臚
胫	脛
胶	膠
脉	脈
脍	膾
脐	臍
腘	膕
脑	腦
脓	膿
脔	臠
脚	腳
脱	脫
脶	腡
脸	臉
腭	齶
腻	膩
腼	靦
腽	膃
腾	騰
膑	臏
臜	臢
舆	輿
舣	艤
舰	艦
舱	艙
舻	艫
